#METADATA SECTION
#Type = Observation
#Mobile = 0
#Owner = FLEXIT
#Phenomenon = [fire_alarm_status,CO2_measurement,estimated_building_damage,people_counter]
#Phenomenon_Unit = [boolean,ppm,%,integer]
#Sensor_no = 2

#unique_id longitude latitude status
#Evaggelismos_Hospital-001 23.748096 37.976905 true
#Flexit_Office-001 13.023300 47.793630 true

#unique_id timestamp longitude latitude fire_alarm_status CO2_measurement estimated_building_damage people_counter
Evaggelismos_Hospital-001 2000 23.748096 37.976905 0 0.0 0.0 415
Flexit_Office-001 17000 13.023300 47.793630 0 0.0 0.0 1016
Evaggelismos_Hospital-001 32000 23.748096 37.976905 0 0.0 0.0 390
Flexit_Office-001 47000 13.023300 47.793630 0 0.0 0.0 1077
Evaggelismos_Hospital-001 62000 23.748096 37.976905 0 0.0 0.0 394
Flexit_Office-001 77000 13.023300 47.793630 0 0.0 0.0 1148
Evaggelismos_Hospital-001 92000 23.748096 37.976905 0 0.0 0.0 476
Flexit_Office-001 107000 13.023300 47.793630 0 0.0 0.0 1139
Evaggelismos_Hospital-001 122000 23.748096 37.976905 0 0.0 0.0 360
Flexit_Office-001 137000 13.023300 47.793630 0 0.0 0.0 1172
Evaggelismos_Hospital-001 152000 23.748096 37.976905 0 0.0 0.0 353
Flexit_Office-001 167000 13.023300 47.793630 0 0.0 0.0 1193
Evaggelismos_Hospital-001 182000 23.748096 37.976905 0 0.0 0.0 417
Flexit_Office-001 197000 13.023300 47.793630 0 0.0 0.0 1165
Evaggelismos_Hospital-001 212000 23.748096 37.976905 0 0.0 0.0 423
Flexit_Office-001 227000 13.023300 47.793630 0 0.0 0.0 1153
Evaggelismos_Hospital-001 242000 23.748096 37.976905 0 0.0 0.0 384
Flexit_Office-001 257000 13.023300 47.793630 0 0.0 0.0 1115
Evaggelismos_Hospital-001 272000 23.748096 37.976905 0 0.0 0.0 429
Flexit_Office-001 287000 13.023300 47.793630 0 0.0 0.0 1004
Evaggelismos_Hospital-001 302000 23.748096 37.976905 0 0.0 0.0 377
Flexit_Office-001 317000 13.023300 47.793630 0 0.0 0.0 1014
Evaggelismos_Hospital-001 332000 23.748096 37.976905 0 0.0 0.0 425
Flexit_Office-001 347000 13.023300 47.793630 0 0.0 0.0 958
Evaggelismos_Hospital-001 362000 23.748096 37.976905 0 0.0 0.0 463
Flexit_Office-001 377000 13.023300 47.793630 0 0.0 0.0 1018
Evaggelismos_Hospital-001 392000 23.748096 37.976905 0 0.0 0.0 372
Flexit_Office-001 407000 13.023300 47.793630 0 0.0 0.0 1053
Evaggelismos_Hospital-001 422000 23.748096 37.976905 0 0.0 0.0 383
Flexit_Office-001 437000 13.023300 47.793630 0 0.0 0.0 1089
Evaggelismos_Hospital-001 452000 23.748096 37.976905 0 0.0 0.0 361
Flexit_Office-001 467000 13.023300 47.793630 0 0.0 0.0 1146
Evaggelismos_Hospital-001 482000 23.748096 37.976905 0 0.0 0.0 362
Flexit_Office-001 497000 13.023300 47.793630 0 0.0 0.0 1073
Evaggelismos_Hospital-001 512000 23.748096 37.976905 0 0.0 0.0 432
Flexit_Office-001 527000 13.023300 47.793630 0 0.0 0.0 1082
Evaggelismos_Hospital-001 542000 23.748096 37.976905 0 0.0 0.0 372
Flexit_Office-001 557000 13.023300 47.793630 0 0.0 0.0 1029
Evaggelismos_Hospital-001 572000 23.748096 37.976905 0 0.0 0.0 448
Flexit_Office-001 587000 13.023300 47.793630 0 0.0 0.0 1073
Evaggelismos_Hospital-001 602000 23.748096 37.976905 0 0.0 0.0 375
Flexit_Office-001 617000 13.023300 47.793630 0 0.0 0.0 1115
Evaggelismos_Hospital-001 632000 23.748096 37.976905 0 0.0 0.0 445
Flexit_Office-001 647000 13.023300 47.793630 0 0.0 0.0 1065
Evaggelismos_Hospital-001 662000 23.748096 37.976905 0 0.0 0.0 503
Flexit_Office-001 677000 13.023300 47.793630 0 0.0 0.0 1138
Evaggelismos_Hospital-001 692000 23.748096 37.976905 0 0.0 0.0 364
Flexit_Office-001 707000 13.023300 47.793630 0 0.0 0.0 1098
Evaggelismos_Hospital-001 722000 23.748096 37.976905 0 0.0 0.0 459
Flexit_Office-001 737000 13.023300 47.793630 0 0.0 0.0 1170
